TITLE	GENRE
A Nightmare on Castro Street (2002)	Short
A Nightmare on Elm Street (1984)	Horror
A Nightmare on Elm Street (2010)	Horror
A Nightmare on Elm Street (2010)	Mystery
A Nightmare on Elm Street (2010)	Thriller
A Nightmare on Elm Street 3: Dream Warriors (1987)	Horror
A Nightmare on Elm Street 3: Dream Warriors (1987)	Thriller
A Nightmare on Elm Street 4: The Dream Master (1988)	Horror
A Nightmare on Elm Street 4: The Dream Master (1988)	Thriller
A Nightmare on Elm Street Part 2: Freddy's Revenge (1985)	Horror
A Nightmare on Elm Street: The Dream Child (1989)	Horror
A Nightmare on Elm Street: The Dream Child (1989)	Thriller
A Nocturne (2007)	Horror
A Nymphoid Barbarian in Dinosaur Hell (1990)	Fantasy
A Nymphoid Barbarian in Dinosaur Hell (1990)	Horror
A Nymphoid Barbarian in Dinosaur Hell (1990)	Sci-Fi
A Polish Vampire in Burbank (1985)	Comedy
A Polish Vampire in Burbank (1985)	Horror
A Prairie Home Companion (2006)	Comedy
A Prairie Home Companion (2006)	Drama
A Prairie Home Companion (2006)	Music
A Reckoning (2011)	Drama
A Reckoning (2011)	Horror
A Reckoning (2011)	Mystery
A Reckoning (2011)	Thriller
A Return to Salem's Lot (1987)	Horror
A Rosa do Adro (1919)	Drama
A Rosa do Adro (1919)	Romance
A Scooby-Doo! Christmas (2004) (TV)	Animation
A Scooby-Doo! Christmas (2004) (TV)	Comedy
A Scooby-Doo! Christmas (2004) (TV)	Horror
A Scooby-Doo! Christmas (2004) (TV)	Mystery
A Scooby-Doo! Christmas (2004) (TV)	Short
A Season for Brooding (2008)	Horror
A Second Life (2010)	Thriller
A Sesame Street Christmas Carol (2006) (V)	Family
A Short Film About John Bolton (2003)	Short
A Simple Wish (1997)	Comedy
A Simple Wish (1997)	Family
A Simple Wish (1997)	Fantasy
A Siren in the Dark (2009) (V)	Drama
A Siren in the Dark (2009) (V)	Horror
A Siren in the Dark (2009) (V)	Mystery
A Siren in the Dark (2009) (V)	Thriller
A Smoky Mountain Christmas (1986) (TV)	Fantasy
A Sound of Thunder (2005)	Action
A Sound of Thunder (2005)	Adventure
A Sound of Thunder (2005)	Sci-Fi
A Sound of Thunder (2005)	Thriller
A Stir in the Forest (2008)	Short
A Story (1987)	Adventure
A Story (1987)	Animation
A Story (1987)	Short
A Tale of Two Zombies (2010) (V)	Horror
A Tale of Two Zombies (2010) (V)	Short
A Taste of Blood (1967)	Horror
A Tax on Bunny Rabbits (2011)	Action
A Tax on Bunny Rabbits (2011)	Animation
